ZIP,LAT,LNG,City,State ,County
83836,48.250908,-116.269126,Hope,ID,Bonner
83837,47.506543,-116.109692,Kellogg,ID,Shoshone
83839,47.609496,-116.163816,Kingston,ID,Shoshone
83840,48.310572,-116.515166,Kootenai,ID,Bonner
83841,48.201518,-116.751107,Laclede,ID,Bonner
83842,47.444837,-116.546548,Medimont,ID,Kootenai
83843,46.722245,-116.940158,Moscow,ID,Latah
83844,46.730066,-117.014806,Moscow,ID,Latah
83845,48.804787,-116.091394,Moyie Springs,ID,Boundary
83846,47.480713,-115.767256,Mullan,ID,Shoshone
83847,48.577859,-116.449093,Naples,ID,Boundary
83848,48.672385,-116.891551,Nordman,ID,Bonner
83849,47.538098,-115.991959,Osburn,ID,Shoshone
83850,47.454339,-116.234095,Pinehurst,ID,Shoshone
83851,47.296877,-116.922804,Plummer,ID,Benewah
83852,48.31108,-116.543458,Ponderay,ID,Bonner
83854,47.71934,-116.967308,Post Falls,ID,Kootenai
83855,46.994784,-116.888154,Potlatch,ID,Latah
83856,48.297327,-116.9109,Priest River,ID,Bonner
83857,46.897098,-116.796287,Princeton,ID,Latah
83858,47.863047,-116.949403,Rathdrum,ID,Kootenai
83860,48.180541,-116.536223,Sagle,ID,Bonner
83861,47.264602,-116.540566,Saint Maries,ID,Benewah
83864,48.476674,-116.514487,Sandpoint,ID,Bonner
83866,47.155053,-116.424772,Santa,ID,Benewah
83867,47.512124,-115.946935,Silverton,ID,Shoshone
83868,47.516307,-116.182601,Smelterville,ID,Shoshone
83869,47.982344,-116.892359,Spirit Lake,ID,Kootenai
83870,47.125874,-116.831523,Tensed,ID,Benewah
83871,46.741942,-116.74268,Troy,ID,Latah
83872,46.867496,-116.976959,Viola,ID,Latah
83873,47.582915,-115.843529,Wallace,ID,Shoshone
83874,47.643151,-115.804991,Murray,ID,Shoshone
83876,47.45747,-116.930561,Worley,ID,Kootenai
84001,40.346686,-110.275956,Altamont,UT,Duchesne
84002,40.452048,-110.306744,Altonah,UT,Duchesne
84003,40.471654,-111.68059,American Fork,UT,Utah
84004,40.508773,-111.751403,Alpine,UT,Utah
84005,40.325116,-111.996538,#N/A,#N/A,#N/A
84006,40.601473,-112.117219,Bingham Canyon,UT,Salt Lake
84007,40.323702,-110.207858,Bluebell,UT,Duchesne
84010,40.867942,-111.867845,Bountiful,UT,Davis
84013,40.295924,-112.094468,Cedar Valley,UT,Utah
